pickup_latitude|pickup_longitude|PickUpKey|properties.category|properties.addresstype|properties.address.neighbourhood|properties.address.suburb
40.761452|-73.99395|29405|shop|shop|Hell's Kitchen|Manhattan
40.761452|-73.990356|29406|place|place|Hell's Kitchen|Manhattan
40.761452|-73.984253|29407|railway|railway|Manhattan Community Board 5|Manhattan
40.761452|-73.979706|29408|highway|road|Theater District|Manhattan
40.761452|-73.973228|29409|building|building|Midtown East|Manhattan
40.761452|-73.96022|29410|amenity|amenity|Manhattan Community Board 8|Manhattan
40.761456|-73.999687|29411|building|building|Hell's Kitchen|Manhattan
40.761456|-73.986664|29412|tourism|tourism|Hell's Kitchen|Manhattan
40.761456|-73.979172|29413|highway|road|Manhattan Community Board 5|Manhattan
40.761459|-73.982285|29414|tourism|tourism|Manhattan Community Board 5|Manhattan
40.761463|-73.994095|29415|building|building|Hell's Kitchen|Manhattan
40.761463|-73.990616|29416|building|building|Hell's Kitchen|Manhattan
40.761463|-73.966766|29417|place|place|Midtown East|Manhattan
40.761463|-73.966316|29418|place|place|Manhattan Community Board 8|Manhattan
40.761463|-73.964409|29419|building|building|Manhattan Community Board 8|Manhattan
40.761463|-73.960693|29420|highway|road|Lenox Hill|Manhattan
40.761463|-73.917267|29421|place|place||Queens
40.761467|-73.983604|29422|amenity|amenity|Manhattan Community Board 5|Manhattan
40.761467|-73.930382|29423|building|building|Ravenswood|Queens
40.761471|-73.999985|29424|building|building|Hell's Kitchen|Manhattan
40.761471|-73.992195|29425|building|building|Hell's Kitchen|Manhattan
40.761471|-73.986824|29426|railway|railway|Hell's Kitchen|Manhattan
40.761471|-73.982834|29427|tourism|tourism|Manhattan Community Board 5|Manhattan
40.761471|-73.982147|29428|tourism|tourism|Manhattan Community Board 5|Manhattan
40.761471|-73.979179|29429|highway|road|Manhattan Community Board 5|Manhattan
40.761471|-73.960655|29430|highway|road|Lenox Hill|Manhattan
40.761475|-73.994034|29431|shop|shop|Hell's Kitchen|Manhattan
40.761475|-73.982162|29432|tourism|tourism|Manhattan Community Board 5|Manhattan
40.761475|-73.968636|29433|amenity|amenity|Midtown East|Manhattan
40.761478|-73.994087|29434|building|building|Hell's Kitchen|Manhattan
40.761478|-73.980095|29435|highway|road|Theater District|Manhattan
40.761478|-73.969421|29436|building|building|Midtown East|Manhattan
40.761478|-73.964333|29437|building|building|Manhattan Community Board 8|Manhattan
40.761478|-73.963844|29438|place|place|Manhattan Community Board 8|Manhattan
40.761478|-73.960571|29439|building|building|Manhattan Community Board 8|Manhattan
40.761478|-73.924316|29440|amenity|amenity||Queens
40.761482|-73.986397|29441|tourism|tourism|Hell's Kitchen|Manhattan
40.761486|-73.999702|29442|building|building|Hell's Kitchen|Manhattan
40.761486|-73.988121|29443|tourism|tourism|Hell's Kitchen|Manhattan
40.761486|-73.988022|29444|tourism|tourism|Hell's Kitchen|Manhattan
